imgname;title;painter;year;medium;image-URL;page-URL;OriginCountry
1899_HenriDeToulouseLautrec_InAPrivateRoomAt.jpg;In a private room at the Rat mort;Henri de Toulouse-Lautrec;1899-1900;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/5/5d/Henri_de_Toulouse-Lautrec_029.jpg;https://commons.wikimedia.org/wiki/File:Henri_de_Toulouse-Lautrec_029.jpg;France
1893_HenriDeToulouseLautrec_TheLadiesInThe.jpg;The ladies in the brothel dining-room;Henri de Toulouse-Lautrec;1893;oil on paperboard;https://upload.wikimedia.org/wikipedia/commons/c/c1/Henri_de_Toulouse-Lautrec_030.jpg;https://commons.wikimedia.org/wiki/File:Henri_de_Toulouse-Lautrec_030.jpg;France
1893_ToulouseLautrecHenriDe_JaneAvrilTanzend.jpg; Jane Avril tanzend, Studie für das Plakat »Jardin de Paris«;Toulouse-Lautrec, Henri de;1893; Gouache auf Karton;https://upload.wikimedia.org/wikipedia/commons/3/3c/Henri_de_Toulouse-Lautrec_031.jpg;https://commons.wikimedia.org/wiki/File:Henri_de_Toulouse-Lautrec_031.jpg;No information
1899_ToulouseLautrecHenriDe_JaneAvril.jpg; Jane Avril;Toulouse-Lautrec, Henri de;1899; Farblithographie Plakat;https://upload.wikimedia.org/wikipedia/commons/4/47/Henri_de_Toulouse-Lautrec_032.jpg;https://commons.wikimedia.org/wiki/File:Henri_de_Toulouse-Lautrec_032.jpg;France
1893_ToulouseLautrecHenriDe_JaneAvril.jpg; Jane Avril;Toulouse-Lautrec, Henri de;1893; Farblithographie;https://upload.wikimedia.org/wikipedia/commons/0/0e/Henri_de_Toulouse-Lautrec_033.jpg;https://commons.wikimedia.org/wiki/File:Henri_de_Toulouse-Lautrec_033.jpg;France
1893_HenriDeToulouseLautrec_JaneAvrilLeaving.jpg;Jane Avril Leaving the Moulin Rouge;Henri de Toulouse-Lautrec;1893;oil and gouache on cardboard;https://upload.wikimedia.org/wikipedia/commons/4/4c/Henri_de_Toulouse-Lautrec_034.jpg;https://commons.wikimedia.org/wiki/File:Henri_de_Toulouse-Lautrec_034.jpg;No information
1895_HenriDeToulouseLautrec_JardinDeParis.jpg; Jardin de Paris, May Belfort, Plakat;Henri de Toulouse-Lautrec;1895; Farblithographie;https://upload.wikimedia.org/wikipedia/commons/1/15/Henri_de_Toulouse-Lautrec_035.jpg;https://commons.wikimedia.org/wiki/File:Henri_de_Toulouse-Lautrec_035.jpg;France
1895_HenriDeToulouseLautrec_LaClownesse.jpg;La Clownesse Cha-U-Ka-O im Moulin Rouge;Henri de Toulouse-Lautrec;1895;color on canvas;https://upload.wikimedia.org/wikipedia/commons/8/88/Henri_de_Toulouse-Lautrec_036.jpg;https://commons.wikimedia.org/wiki/File:Henri_de_Toulouse-Lautrec_036.jpg;France
1892_HenriDeToulouseLautrec_LaGouleBetrittMit.jpg;La Goule betritt mit zwei Frauen das »Moulin Rouge«;Henri de Toulouse-Lautrec;1892;oil on cardboard;https://upload.wikimedia.org/wikipedia/commons/5/5f/Henri_de_Toulouse-Lautrec_037.jpg;https://commons.wikimedia.org/wiki/File:Henri_de_Toulouse-Lautrec_037.jpg;France
1900_HenriDeToulouseLautrec_Français.jpg;Français :;Henri de Toulouse-Lautrec;1900;color on cardboard;https://upload.wikimedia.org/wikipedia/commons/5/51/Henri_de_Toulouse-Lautrec_038.jpg;https://commons.wikimedia.org/wiki/File:Henri_de_Toulouse-Lautrec_038.jpg;France
1888_HenriDeToulouseLautrec_LeCotierDeLa.jpg;Le côtier de la compagnie des omnibus Das Vorspannpferd der Schienenbusgesellschaft;Henri de Toulouse-Lautrec;1888; Mischtechnik, Karton;https://upload.wikimedia.org/wikipedia/commons/f/f3/Henri_de_Toulouse-Lautrec_039.jpg;https://commons.wikimedia.org/wiki/File:Henri_de_Toulouse-Lautrec_039.jpg;No information
1898_HenriDeToulouseLautrec_MadamePoupouleBei.jpg;Madame Poupoule bei der Toilette;Henri de Toulouse-Lautrec;1898;oil on panel;https://upload.wikimedia.org/wikipedia/commons/4/49/Henri_de_Toulouse-Lautrec_040.jpg;https://commons.wikimedia.org/wiki/File:Henri_de_Toulouse-Lautrec_040.jpg;France
1895_ToulouseLautrecHenriDe_?eština.jpg;?eština:;Toulouse-Lautrec, Henri de;1895; Farblithographie;https://upload.wikimedia.org/wikipedia/commons/e/e9/Henri_de_Toulouse-Lautrec_041.jpg;https://commons.wikimedia.org/wiki/File:Henri_de_Toulouse-Lautrec_041.jpg;France
1900_HenriDeToulouseLautrec_MauriceJoyantIn.jpg;Maurice Joyant in der Somme-Bucht;Henri de Toulouse-Lautrec;1900;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/0/02/Henri_de_Toulouse-Lautrec_042.jpg;https://commons.wikimedia.org/wiki/File:Henri_de_Toulouse-Lautrec_042.jpg;France
1895_HenriDeToulouseLautrec_MaurischerTanz.jpg;Maurischer Tanz »Les Almées«;Henri de Toulouse-Lautrec;1895;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/7/74/Henri_de_Toulouse-Lautrec_043.jpg;https://commons.wikimedia.org/wiki/File:Henri_de_Toulouse-Lautrec_043.jpg;France
1896_ToulouseLautrecHenriDe_MaximeDethomasAuf.jpg; Maxime Dethomas auf dem Operball;Toulouse-Lautrec, Henri de;1896; Öl auf Karton;https://upload.wikimedia.org/wikipedia/commons/1/10/Henri_de_Toulouse-Lautrec_044.jpg;https://commons.wikimedia.org/wiki/File:Henri_de_Toulouse-Lautrec_044.jpg;France
1890_HenriDeToulouseLautrec_Français.jpg;Français :;Henri de Toulouse-Lautrec;1890;oil;https://upload.wikimedia.org/wikipedia/commons/2/27/Henri_de_Toulouse-Lautrec_046.jpg;https://commons.wikimedia.org/wiki/File:Henri_de_Toulouse-Lautrec_046.jpg;France
1893_HenriDeToulouseLautrec_MonsieurBoileau.jpg;Monsieur Boileau;Henri de Toulouse-Lautrec;1893;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/3/37/Henri_de_Toulouse-Lautrec_047.jpg;https://commons.wikimedia.org/wiki/File:Henri_de_Toulouse-Lautrec_047.jpg;France
1894_HenriDeToulouseLautrec_MonsieurMadameUnd.jpg;Monsieur, Madame und das Hündchen Pächterehepaar eines Bordells;Henri de Toulouse-Lautrec;circa 1894;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/a/a2/Henri_de_Toulouse-Lautrec_048.jpg;https://commons.wikimedia.org/wiki/File:Henri_de_Toulouse-Lautrec_048.jpg;No information
1891_HenriDeToulouseLautrec_»MoulinRouge«La.jpg; »Moulin Rouge«: La Goulue;Henri de Toulouse-Lautrec;1891; Farblithographie Plakat;https://upload.wikimedia.org/wikipedia/commons/3/37/Henri_de_Toulouse-Lautrec_049.jpg;https://commons.wikimedia.org/wiki/File:Henri_de_Toulouse-Lautrec_049.jpg;France
1896_HenriDeToulouseLautrec_Napoleon.jpg;Napoléon;Henri de Toulouse-Lautrec;1896;lithograph;https://upload.wikimedia.org/wikipedia/commons/f/fd/Henri_de_Toulouse-Lautrec_050.jpg;https://commons.wikimedia.org/wiki/File:Henri_de_Toulouse-Lautrec_050.jpg;France
1886_HenriDeToulouseLautrec_PortraetDerGraefin.jpg; Porträt der Gräfin A. de Toulouse-Lautrec;Henri de Toulouse-Lautrec;circa 1886-1887;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/a/a2/Henri_de_Toulouse-Lautrec_051.jpg;https://commons.wikimedia.org/wiki/File:Henri_de_Toulouse-Lautrec_051.jpg;France
1890_ToulouseLautrecHenriDe_JustineDieuhlIm.jpg; Justine Dieuhl im Garten von »Père«  Forest;Toulouse-Lautrec, Henri de;1890; Öl auf Karton;https://upload.wikimedia.org/wikipedia/commons/8/8e/Henri_de_Toulouse-Lautrec_052.jpg;https://commons.wikimedia.org/wiki/File:Henri_de_Toulouse-Lautrec_052.jpg;France
1890_ToulouseLautrecHenriDe_JustineDieuhlIm.jpg; Justine Dieuhl im Garten von »Père«  Forest;Toulouse-Lautrec, Henri de;1890; Öl auf Karton;https://upload.wikimedia.org/wikipedia/commons/6/64/Henri_de_Toulouse-Lautrec_052a.jpg;https://commons.wikimedia.org/wiki/File:Henri_de_Toulouse-Lautrec_052a.jpg;No information
1899_HenriDeToulouseLautrec_PortraetDerMiss.jpg;Porträt der Miss Dolly aus dem »Star« in Le Havre;Henri de Toulouse-Lautrec;1899;oil on panel;https://upload.wikimedia.org/wikipedia/commons/d/d1/Henri_de_Toulouse-Lautrec_053.jpg;https://commons.wikimedia.org/wiki/File:Henri_de_Toulouse-Lautrec_053.jpg;France
